Year,Region,Country,"Nationality Wise Number Of Foreign Tourists Arrivals (Ftas) In India (UOM:Number), Scaling Factor:1","Nationality Wise Average Duration Of Stay By Foreign Tourists Arrivals (Ftas) In India (UOM:Day), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2019",East Asia,Others,,31.7
"Calendar Year (Jan - Dec), 2019",East Asia,Republic Of Korea,,20.6
"Calendar Year (Jan - Dec), 2019",East Asia,Taiwan,,12.1
"Calendar Year (Jan - Dec), 2019",Australasia,Australia,,23.8
"Calendar Year (Jan - Dec), 2019",Australasia,New Zealand,,25.7
"Calendar Year (Jan - Dec), 2019",Australasia,Others,,29.1
"Calendar Year (Jan - Dec), 2019",West Asia,Bahrain,,15.3
"Calendar Year (Jan - Dec), 2019",West Asia,Iraq,,17.7
"Calendar Year (Jan - Dec), 2019",West Asia,Israel,,21.0
"Calendar Year (Jan - Dec), 2019",West Asia,Oman,,11.5
"Calendar Year (Jan - Dec), 2019",West Asia,Others,,11.8
"Calendar Year (Jan - Dec), 2019",West Asia,Saudi Arabia,,13.0
"Calendar Year (Jan - Dec), 2019",West Asia,Turkey,,7.7
"Calendar Year (Jan - Dec), 2019",West Asia,United Arab Emirates,,11.0
"Calendar Year (Jan - Dec), 2019",West Asia,Yemen,,51.4
"Calendar Year (Jan - Dec), 2019",Not classified elsewhere,Not Classified Elsewhere,,24.4
"Calendar Year (Jan - Dec), 2019",Central and South America,Argentina,,18.1
"Calendar Year (Jan - Dec), 2019",Central and South America,Brazil,,17.9
"Calendar Year (Jan - Dec), 2019",Central and South America,Mexico,,13.4
"Calendar Year (Jan - Dec), 2019",Central and South America,Others,,19.0
"Calendar Year (Jan - Dec), 2018",North America,Canada,,34.2
"Calendar Year (Jan - Dec), 2018",North America,United States Of America,,29.2
"Calendar Year (Jan - Dec), 2018",Western Europe,Austria,,20.0
"Calendar Year (Jan - Dec), 2018",Western Europe,Belgium,,20.4
"Calendar Year (Jan - Dec), 2018",Western Europe,Denmark,,16.0
"Calendar Year (Jan - Dec), 2018",Western Europe,Finland,,17.0
"Calendar Year (Jan - Dec), 2018",Western Europe,France,,21.3
"Calendar Year (Jan - Dec), 2018",Western Europe,Germany,,18.8
"Calendar Year (Jan - Dec), 2018",Western Europe,Greece,,17.2
"Calendar Year (Jan - Dec), 2018",Western Europe,Ireland,,22.1
"Calendar Year (Jan - Dec), 2018",Western Europe,Italy,,19.1
"Calendar Year (Jan - Dec), 2018",Western Europe,Netherlands,,18.6
"Calendar Year (Jan - Dec), 2018",Western Europe,Norway,,19.4
"Calendar Year (Jan - Dec), 2018",Western Europe,Others,,23.9
"Calendar Year (Jan - Dec), 2018",Western Europe,Portugal,,32.0
"Calendar Year (Jan - Dec), 2018",Western Europe,Spain,,17.6
"Calendar Year (Jan - Dec), 2018",Western Europe,Sweden,,19.1
"Calendar Year (Jan - Dec), 2018",Western Europe,Switzerland,,19.3
"Calendar Year (Jan - Dec), 2018",Western Europe,United Kingdom,,22.5
"Calendar Year (Jan - Dec), 2018",Eastern Europe,Czech,,17.3
"Calendar Year (Jan - Dec), 2018",Eastern Europe,Hungary,,18.7
"Calendar Year (Jan - Dec), 2018",Eastern Europe,Kazakhstan,,19.0
"Calendar Year (Jan - Dec), 2018",Eastern Europe,Others,,17.8
"Calendar Year (Jan - Dec), 2018",Eastern Europe,Poland,,16.4
"Calendar Year (Jan - Dec), 2018",Eastern Europe,Russian Federation,,18.9
"Calendar Year (Jan - Dec), 2018",Eastern Europe,Ukraine,,24.6
"Calendar Year (Jan - Dec), 2018",Africa,Egypt,,19.6
"Calendar Year (Jan - Dec), 2018",Africa,Kenya,,27.1
"Calendar Year (Jan - Dec), 2018",Africa,Mauritius,,17.4
"Calendar Year (Jan - Dec), 2018",Africa,Nigeria,,42.0
"Calendar Year (Jan - Dec), 2018",Africa,Others,,33.9
"Calendar Year (Jan - Dec), 2018",Africa,South Africa,,18.4
"Calendar Year (Jan - Dec), 2018",Africa,Sudan,,28.2
"Calendar Year (Jan - Dec), 2018",Africa,Tanzania,,31.2
"Calendar Year (Jan - Dec), 2018",South Asia,Afghanistan,,26.3
"Calendar Year (Jan - Dec), 2018",South Asia,Bangladesh,,14.5
"Calendar Year (Jan - Dec), 2018",South Asia,Bhutan,,21.3
"Calendar Year (Jan - Dec), 2018",South Asia,Iran,,26.2
"Calendar Year (Jan - Dec), 2018",South Asia,Maldives,,17.1
"Calendar Year (Jan - Dec), 2018",South Asia,Nepal,,22.0
"Calendar Year (Jan - Dec), 2018",South Asia,Pakistan,,30.9
"Calendar Year (Jan - Dec), 2018",South Asia,Sri Lanka,,13.8
"Calendar Year (Jan - Dec), 2018",South East Asia,Indonesia,,19.1
"Calendar Year (Jan - Dec), 2018",South East Asia,Malaysia,,14.4
"Calendar Year (Jan - Dec), 2018",South East Asia,Myanmar (Burma),,12.7
"Calendar Year (Jan - Dec), 2018",South East Asia,Others,,18.2
"Calendar Year (Jan - Dec), 2018",South East Asia,Phillippines,,19.8
"Calendar Year (Jan - Dec), 2018",South East Asia,Singapore,,14.5
"Calendar Year (Jan - Dec), 2018",South East Asia,Thailand,,17.5
"Calendar Year (Jan - Dec), 2018",South East Asia,Vietnam,,13.8
"Calendar Year (Jan - Dec), 2018",East Asia,China,,19.1
"Calendar Year (Jan - Dec), 2018",East Asia,Japan,,17.2
"Calendar Year (Jan - Dec), 2018",East Asia,Others,,35.4
"Calendar Year (Jan - Dec), 2018",East Asia,Republic Of China Taiwan,,13.7
"Calendar Year (Jan - Dec), 2018",Australasia,Australia,,26.4
"Calendar Year (Jan - Dec), 2018",Australasia,New Zealand,,29.4
"Calendar Year (Jan - Dec), 2018",Australasia,Others,,27.9
"Calendar Year (Jan - Dec), 2018",West Asia,Bahrain,,26.1
"Calendar Year (Jan - Dec), 2018",West Asia,Iraq,,21.6
"Calendar Year (Jan - Dec), 2018",West Asia,Israel,,24.7
"Calendar Year (Jan - Dec), 2018",West Asia,Oman,,11.2
"Calendar Year (Jan - Dec), 2018",West Asia,Others,,16.9
"Calendar Year (Jan - Dec), 2018",West Asia,Saudi Arabia,,19.1
"Calendar Year (Jan - Dec), 2018",West Asia,Turkey,,16.9
"Calendar Year (Jan - Dec), 2018",West Asia,United Arab Emirates,,12.2
"Calendar Year (Jan - Dec), 2018",West Asia,Yemen,,62.1
"Calendar Year (Jan - Dec), 2018",Not classified elsewhere,Not Classified Elsewhere,,24.0
"Calendar Year (Jan - Dec), 2018",Central and South America,Argentina,,17.7
"Calendar Year (Jan - Dec), 2018",Central and South America,Brazil,,21.3
"Calendar Year (Jan - Dec), 2018",Central and South America,Mexico,,15.9
"Calendar Year (Jan - Dec), 2018",Central and South America,Others,,22.6
"Calendar Year (Jan - Dec), 2017",North America,Canada,,35.8
"Calendar Year (Jan - Dec), 2017",North America,United States Of America,,29.7
"Calendar Year (Jan - Dec), 2017",Western Europe,Austria,,20.8
"Calendar Year (Jan - Dec), 2017",Western Europe,Belgium,,20.2
"Calendar Year (Jan - Dec), 2017",Western Europe,Denmark,,15.7
"Calendar Year (Jan - Dec), 2017",Western Europe,Finland,,16.1
"Calendar Year (Jan - Dec), 2017",Western Europe,France,,21.9
"Calendar Year (Jan - Dec), 2017",Western Europe,Germany,,18.7
"Calendar Year (Jan - Dec), 2017",Western Europe,Greece,,16.0
"Calendar Year (Jan - Dec), 2017",Western Europe,Ireland,,22.4
"Calendar Year (Jan - Dec), 2017",Western Europe,Italy,,20.0
"Calendar Year (Jan - Dec), 2017",Western Europe,Netherlands,,18.4
"Calendar Year (Jan - Dec), 2017",Western Europe,Norway,,19.6
"Calendar Year (Jan - Dec), 2017",Western Europe,Others,,25.0
"Calendar Year (Jan - Dec), 2017",Western Europe,Portugal,,33.3
"Calendar Year (Jan - Dec), 2017",Western Europe,Spain,,17.7
"Calendar Year (Jan - Dec), 2017",Western Europe,Sweden,,20.0
"Calendar Year (Jan - Dec), 2017",Western Europe,Switzerland,,19.3
"Calendar Year (Jan - Dec), 2017",Western Europe,United Kingdom,,22.9
"Calendar Year (Jan - Dec), 2017",Eastern Europe,Czech,,18.2
"Calendar Year (Jan - Dec), 2017",Eastern Europe,Hungary,,18.6
"Calendar Year (Jan - Dec), 2017",Eastern Europe,Kazakhstan,,17.7
"Calendar Year (Jan - Dec), 2017",Eastern Europe,Others,,18.3
"Calendar Year (Jan - Dec), 2017",Eastern Europe,Poland,,16.5
"Calendar Year (Jan - Dec), 2017",Eastern Europe,Russian Federation,,18.2
"Calendar Year (Jan - Dec), 2017",Eastern Europe,Ukraine,,25.6
"Calendar Year (Jan - Dec), 2017",Africa,Egypt,,18.9
"Calendar Year (Jan - Dec), 2017",Africa,Kenya,,27.4
"Calendar Year (Jan - Dec), 2017",Africa,Mauritius,,17.6
"Calendar Year (Jan - Dec), 2017",Africa,Nigeria,,44.4
"Calendar Year (Jan - Dec), 2017",Africa,Others,,38.1
"Calendar Year (Jan - Dec), 2017",Africa,South Africa,,19.0
"Calendar Year (Jan - Dec), 2017",Africa,Sudan,,41.9
"Calendar Year (Jan - Dec), 2017",Africa,Tanzania,,32.0
"Calendar Year (Jan - Dec), 2017",South Asia,Afghanistan,,27.4
"Calendar Year (Jan - Dec), 2017",South Asia,Bangladesh,,14.5
"Calendar Year (Jan - Dec), 2017",South Asia,Bhutan,,21.6
"Calendar Year (Jan - Dec), 2017",South Asia,Iran,,23.5
"Calendar Year (Jan - Dec), 2017",South Asia,Maldives,,20.8
"Calendar Year (Jan - Dec), 2017",South Asia,Nepal,,33.2
"Calendar Year (Jan - Dec), 2017",South Asia,Pakistan,,28.4
"Calendar Year (Jan - Dec), 2017",South Asia,Sri Lanka,,15.5
"Calendar Year (Jan - Dec), 2017",South East Asia,Indonesia,,23.3
"Calendar Year (Jan - Dec), 2017",South East Asia,Malaysia,,13.9
"Calendar Year (Jan - Dec), 2017",South East Asia,Myanmar (Burma),,15.2
"Calendar Year (Jan - Dec), 2017",South East Asia,Others,,22.7
"Calendar Year (Jan - Dec), 2017",South East Asia,Phillippines,,18.4
"Calendar Year (Jan - Dec), 2017",South East Asia,Singapore,,13.3
"Calendar Year (Jan - Dec), 2017",South East Asia,Thailand,,20.5
"Calendar Year (Jan - Dec), 2017",South East Asia,Vietnam,,16.0
"Calendar Year (Jan - Dec), 2017",East Asia,China,,19.6
"Calendar Year (Jan - Dec), 2017",East Asia,Japan,,17.4
"Calendar Year (Jan - Dec), 2017",East Asia,Others,,33.3
"Calendar Year (Jan - Dec), 2017",East Asia,Republic Of China Taiwan,,13.7
"Calendar Year (Jan - Dec), 2017",Australasia,Australia,,27.5
"Calendar Year (Jan - Dec), 2017",Australasia,New Zealand,,29.6
"Calendar Year (Jan - Dec), 2017",Australasia,Others,,33.6
"Calendar Year (Jan - Dec), 2017",West Asia,Bahrain,,24.0
"Calendar Year (Jan - Dec), 2017",West Asia,Iraq,,24.1
"Calendar Year (Jan - Dec), 2017",West Asia,Israel,,26.8
"Calendar Year (Jan - Dec), 2017",West Asia,Oman,,10.9
"Calendar Year (Jan - Dec), 2017",West Asia,Others,,14.3
"Calendar Year (Jan - Dec), 2017",West Asia,Saudi Arabia,,17.1
"Calendar Year (Jan - Dec), 2017",West Asia,Turkey,,13.0
"Calendar Year (Jan - Dec), 2017",West Asia,United Arab Emirates,,11.7
"Calendar Year (Jan - Dec), 2017",West Asia,Yemen,,65.6
"Calendar Year (Jan - Dec), 2017",Not classified elsewhere,Not Classified Elsewhere,,34.8
"Calendar Year (Jan - Dec), 2017",Central and South America,Argentina,,18.2
"Calendar Year (Jan - Dec), 2017",Central and South America,Brazil,,21.7
"Calendar Year (Jan - Dec), 2017",Central and South America,Mexico,,15.6
"Calendar Year (Jan - Dec), 2017",Central and South America,Others,,23.3
