Year,Region,Country,"Nationality Wise Number Of Foreign Tourists Arrivals (Ftas) In India (UOM:Number), Scaling Factor:1","Nationality Wise Average Duration Of Stay By Foreign Tourists Arrivals (Ftas) In India (UOM:Day), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2022",Western Europe,Denmark,12331.0,19.36
"Calendar Year (Jan - Dec), 2022",Western Europe,Finland,8781.0,20.44
"Calendar Year (Jan - Dec), 2022",Western Europe,France,120282.0,25.74
"Calendar Year (Jan - Dec), 2022",Western Europe,Germany,141425.0,20.25
"Calendar Year (Jan - Dec), 2022",Western Europe,Greece,4988.0,17.08
"Calendar Year (Jan - Dec), 2022",Western Europe,Ireland,30959.0,27.45
"Calendar Year (Jan - Dec), 2022",Western Europe,Italy,62226.0,27.65
"Calendar Year (Jan - Dec), 2022",Western Europe,Netherlands,55019.0,18.68
"Calendar Year (Jan - Dec), 2022",Western Europe,Norway,13449.0,26.95
"Calendar Year (Jan - Dec), 2022",Western Europe,Others,10345.0,20.12
"Calendar Year (Jan - Dec), 2022",Western Europe,Portugal,69522.0,38.86
"Calendar Year (Jan - Dec), 2022",Western Europe,Spain,39658.0,23.28
"Calendar Year (Jan - Dec), 2022",Western Europe,Sweden,22372.0,28.76
"Calendar Year (Jan - Dec), 2022",Western Europe,Switzerland,25255.0,20.44
"Calendar Year (Jan - Dec), 2022",Western Europe,United Kingdom,641051.0,28.4
"Calendar Year (Jan - Dec), 2022",Eastern Europe,Czech,6287.0,20.53
"Calendar Year (Jan - Dec), 2022",Eastern Europe,Hungary,4298.0,20.63
"Calendar Year (Jan - Dec), 2022",Eastern Europe,Kazakhstan,9546.0,18.94
"Calendar Year (Jan - Dec), 2022",Eastern Europe,Others,44593.0,24.27
"Calendar Year (Jan - Dec), 2022",Eastern Europe,Poland,18025.0,16.06
"Calendar Year (Jan - Dec), 2022",Eastern Europe,Russian Federation,97911.0,34.89
"Calendar Year (Jan - Dec), 2022",Eastern Europe,Ukraine,7304.0,43.14
"Calendar Year (Jan - Dec), 2022",Africa,Egypt,9612.0,12.57
"Calendar Year (Jan - Dec), 2022",Africa,Kenya,35743.0,28.75
"Calendar Year (Jan - Dec), 2022",Africa,Mauritius,24743.0,19.28
"Calendar Year (Jan - Dec), 2022",Africa,Nigeria,10072.0,49.17
"Calendar Year (Jan - Dec), 2022",Africa,Others,84942.0,38.43
"Calendar Year (Jan - Dec), 2022",Africa,South Africa,25860.0,24.74
"Calendar Year (Jan - Dec), 2022",Africa,Sudan,24930.0,27.02
"Calendar Year (Jan - Dec), 2022",Africa,Tanzania,18581.0,31.86
"Calendar Year (Jan - Dec), 2022",South Asia,Afghanistan,1617.0,62.9
"Calendar Year (Jan - Dec), 2022",South Asia,Bangladesh,1277557.0,18.62
"Calendar Year (Jan - Dec), 2022",South Asia,Bhutan,20772.0,19.14
"Calendar Year (Jan - Dec), 2022",South Asia,Iran,13064.0,32.39
"Calendar Year (Jan - Dec), 2022",South Asia,Maldives,71707.0,17.69
"Calendar Year (Jan - Dec), 2022",South Asia,Nepal,138203.0,26.93
"Calendar Year (Jan - Dec), 2022",South Asia,Pakistan,16637.0,63.68
"Calendar Year (Jan - Dec), 2022",South Asia,Sri Lanka,183459.0,14.83
"Calendar Year (Jan - Dec), 2022",South East Asia,Indonesia,13961.0,24.65
"Calendar Year (Jan - Dec), 2022",South East Asia,Malaysia,126192.0,15.31
"Calendar Year (Jan - Dec), 2022",South East Asia,Myanmar (Burma),15963.0,31.89
"Calendar Year (Jan - Dec), 2022",South East Asia,Others,4018.0,34.85
"Calendar Year (Jan - Dec), 2022",South East Asia,Phillippines,28379.0,18.87
"Calendar Year (Jan - Dec), 2022",South East Asia,Singapore,132668.0,15.53
"Calendar Year (Jan - Dec), 2022",South East Asia,Thailand,54367.0,26.47
"Calendar Year (Jan - Dec), 2022",South East Asia,Vietnam,37232.0,10.06
"Calendar Year (Jan - Dec), 2022",East Asia,China,11762.0,64.5
"Calendar Year (Jan - Dec), 2022",East Asia,Japan,64196.0,32.84
"Calendar Year (Jan - Dec), 2022",East Asia,Others,11471.0,35.79
"Calendar Year (Jan - Dec), 2022",East Asia,Republic Of Korea,49423.0,44.54
"Calendar Year (Jan - Dec), 2022",Australasia,Australia,376898.0,34.67
"Calendar Year (Jan - Dec), 2022",Australasia,New Zealand,54974.0,42.48
"Calendar Year (Jan - Dec), 2022",Australasia,Others,3802.0,41.49
"Calendar Year (Jan - Dec), 2022",West Asia,Bahrain,9959.0,19.56
"Calendar Year (Jan - Dec), 2022",West Asia,Iraq,36277.0,21.76
"Calendar Year (Jan - Dec), 2022",West Asia,Israel,36418.0,24.89
"Calendar Year (Jan - Dec), 2022",West Asia,Oman,56474.0,13.41
"Calendar Year (Jan - Dec), 2022",West Asia,Others,20985.0,17.55
"Calendar Year (Jan - Dec), 2022",West Asia,Saudi Arabia,18513.0,16.36
"Calendar Year (Jan - Dec), 2022",West Asia,Turkey,18996.0,11.15
"Calendar Year (Jan - Dec), 2022",West Asia,United Arab Emirates,43702.0,12.2
"Calendar Year (Jan - Dec), 2022",West Asia,Yemen,19022.0,68.0
"Calendar Year (Jan - Dec), 2022",Not classified elsewhere,Not Classified Elsewhere,7326.0,39.5
"Calendar Year (Jan - Dec), 2022",Central and South America,Argentina,4720.0,26.34
"Calendar Year (Jan - Dec), 2022",Central and South America,Brazil,12301.0,26.49
"Calendar Year (Jan - Dec), 2022",Central and South America,Mexico,8915.0,19.25
"Calendar Year (Jan - Dec), 2022",Central and South America,Others,20221.0,29.34
"Calendar Year (Jan - Dec), 2021",North America,Canada,80437.0,52.32
"Calendar Year (Jan - Dec), 2021",North America,Others,2.0,64.0
"Calendar Year (Jan - Dec), 2021",North America,United States Of America,429860.0,32.48
"Calendar Year (Jan - Dec), 2021",Western Europe,Austria,4411.0,29.78
"Calendar Year (Jan - Dec), 2021",Western Europe,Belgium,7382.0,31.32
"Calendar Year (Jan - Dec), 2021",Western Europe,Denmark,2025.0,31.87
"Calendar Year (Jan - Dec), 2021",Western Europe,Finland,1329.0,32.8
"Calendar Year (Jan - Dec), 2021",Western Europe,France,30374.0,29.88
"Calendar Year (Jan - Dec), 2021",Western Europe,Germany,33772.0,24.8
"Calendar Year (Jan - Dec), 2021",Western Europe,Greece,1144.0,20.53
"Calendar Year (Jan - Dec), 2021",Western Europe,Ireland,7600.0,34.69
"Calendar Year (Jan - Dec), 2021",Western Europe,Italy,13659.0,39.36
"Calendar Year (Jan - Dec), 2021",Western Europe,Netherlands,15631.0,19.92
"Calendar Year (Jan - Dec), 2021",Western Europe,Norway,2790.0,32.65
"Calendar Year (Jan - Dec), 2021",Western Europe,Others,1767.0,26.48
"Calendar Year (Jan - Dec), 2021",Western Europe,Portugal,32064.0,38.58
"Calendar Year (Jan - Dec), 2021",Western Europe,Spain,6982.0,38.01
"Calendar Year (Jan - Dec), 2021",Western Europe,Sweden,5579.0,37.45
"Calendar Year (Jan - Dec), 2021",Western Europe,Switzerland,4198.0,25.83
"Calendar Year (Jan - Dec), 2021",Western Europe,United Kingdom,164143.0,30.44
"Calendar Year (Jan - Dec), 2021",Eastern Europe,Czech,983.0,39.79
"Calendar Year (Jan - Dec), 2021",Eastern Europe,Hungary,653.0,33.04
"Calendar Year (Jan - Dec), 2021",Eastern Europe,Kazakhstan,2378.0,16.2
"Calendar Year (Jan - Dec), 2021",Eastern Europe,Others,13875.0,25.16
"Calendar Year (Jan - Dec), 2021",Eastern Europe,Poland,2461.0,24.03
"Calendar Year (Jan - Dec), 2021",Eastern Europe,Russian Federation,17567.0,27.45
"Calendar Year (Jan - Dec), 2021",Eastern Europe,Ukraine,5197.0,21.58
"Calendar Year (Jan - Dec), 2021",Africa,Egypt,1739.0,26.07
"Calendar Year (Jan - Dec), 2021",Africa,Kenya,13373.0,33.92
"Calendar Year (Jan - Dec), 2021",Africa,Mauritius,2118.0,47.07
"Calendar Year (Jan - Dec), 2021",Africa,Nigeria,5516.0,53.53
"Calendar Year (Jan - Dec), 2021",Africa,Others,29087.0,42.93
"Calendar Year (Jan - Dec), 2021",Africa,South Africa,3820.0,38.83
"Calendar Year (Jan - Dec), 2021",Africa,Sudan,6781.0,49.03
"Calendar Year (Jan - Dec), 2021",Africa,Tanzania,6480.0,38.63
"Calendar Year (Jan - Dec), 2021",South Asia,Afghanistan,36451.0,22.92
"Calendar Year (Jan - Dec), 2021",South Asia,Bangladesh,240554.0,25.45
"Calendar Year (Jan - Dec), 2021",South Asia,Bhutan,6081.0,31.77
"Calendar Year (Jan - Dec), 2021",South Asia,Iran,2369.0,65.4
"Calendar Year (Jan - Dec), 2021",South Asia,Maldives,26571.0,22.23
"Calendar Year (Jan - Dec), 2021",South Asia,Nepal,52544.0,24.39
"Calendar Year (Jan - Dec), 2021",South Asia,Pakistan,8163.0,62.21
"Calendar Year (Jan - Dec), 2021",South Asia,Sri Lanka,25989.0,21.58
"Calendar Year (Jan - Dec), 2021",South East Asia,Indonesia,2105.0,31.23
"Calendar Year (Jan - Dec), 2021",South East Asia,Malaysia,6628.0,35.91
"Calendar Year (Jan - Dec), 2021",South East Asia,Myanmar (Burma),3013.0,60.72
"Calendar Year (Jan - Dec), 2021",South East Asia,Others,622.0,102.51
"Calendar Year (Jan - Dec), 2021",South East Asia,Phillippines,6927.0,16.31
"Calendar Year (Jan - Dec), 2021",South East Asia,Singapore,13407.0,31.61
"Calendar Year (Jan - Dec), 2021",South East Asia,Thailand,4668.0,71.11
"Calendar Year (Jan - Dec), 2021",South East Asia,Vietnam,1104.0,22.89
"Calendar Year (Jan - Dec), 2021",East Asia,China,3502.0,98.15
"Calendar Year (Jan - Dec), 2021",East Asia,Japan,15358.0,53.79
"Calendar Year (Jan - Dec), 2021",East Asia,Others,1572.0,134.01
"Calendar Year (Jan - Dec), 2021",East Asia,Republic Of Korea,13330.0,68.03
"Calendar Year (Jan - Dec), 2021",Australasia,Australia,33864.0,47.23
"Calendar Year (Jan - Dec), 2021",Australasia,New Zealand,4497.0,60.16
"Calendar Year (Jan - Dec), 2021",Australasia,Others,504.0,53.25
"Calendar Year (Jan - Dec), 2021",West Asia,Bahrain,1727.0,46.46
"Calendar Year (Jan - Dec), 2021",West Asia,Iraq,16213.0,26.22
"Calendar Year (Jan - Dec), 2021",West Asia,Israel,4601.0,20.79
"Calendar Year (Jan - Dec), 2021",West Asia,Oman,10174.0,19.21
"Calendar Year (Jan - Dec), 2021",West Asia,Others,4499.0,27.15
"Calendar Year (Jan - Dec), 2021",West Asia,Saudi Arabia,1088.0,48.57
"Calendar Year (Jan - Dec), 2021",West Asia,Turkey,3710.0,17.32
"Calendar Year (Jan - Dec), 2021",West Asia,United Arab Emirates,3927.0,19.47
"Calendar Year (Jan - Dec), 2021",West Asia,Yemen,6235.0,72.61
"Calendar Year (Jan - Dec), 2021",Not classified elsewhere,Not Classified Elsewhere,7.0,4.0
"Calendar Year (Jan - Dec), 2021",Central and South America,Argentina,530.0,56.39
"Calendar Year (Jan - Dec), 2021",Central and South America,Brazil,2055.0,50.07
"Calendar Year (Jan - Dec), 2021",Central and South America,Mexico,859.0,47.86
"Calendar Year (Jan - Dec), 2021",Central and South America,Others,3354.0,46.57
"Calendar Year (Jan - Dec), 2020",North America,Canada,122868.0,41.6
"Calendar Year (Jan - Dec), 2020",North America,Others,,
"Calendar Year (Jan - Dec), 2020",North America,United States Of America,394092.0,32.5
"Calendar Year (Jan - Dec), 2020",Western Europe,Austria,9182.0,21.0
"Calendar Year (Jan - Dec), 2020",Western Europe,Belgium,11022.0,24.4
"Calendar Year (Jan - Dec), 2020",Western Europe,Denmark,8252.0,18.4
"Calendar Year (Jan - Dec), 2020",Western Europe,Finland,4310.0,19.4
"Calendar Year (Jan - Dec), 2020",Western Europe,France,74243.0,21.9
"Calendar Year (Jan - Dec), 2020",Western Europe,Germany,72558.0,18.3
"Calendar Year (Jan - Dec), 2020",Western Europe,Greece,2854.0,17.0
"Calendar Year (Jan - Dec), 2020",Western Europe,Ireland,9708.0,23.5
"Calendar Year (Jan - Dec), 2020",Western Europe,Italy,31186.0,23.3
"Calendar Year (Jan - Dec), 2020",Western Europe,Netherlands,26258.0,15.7
"Calendar Year (Jan - Dec), 2020",Western Europe,Norway,6224.0,20.5
"Calendar Year (Jan - Dec), 2020",Western Europe,Others,4937.0,23.5
"Calendar Year (Jan - Dec), 2020",Western Europe,Portugal,31005.0,47.9
"Calendar Year (Jan - Dec), 2020",Western Europe,Spain,16335.0,26.0
"Calendar Year (Jan - Dec), 2020",Western Europe,Sweden,11992.0,23.5
"Calendar Year (Jan - Dec), 2020",Western Europe,Switzerland,12675.0,18.7
"Calendar Year (Jan - Dec), 2020",Western Europe,United Kingdom,291874.0,26.0
"Calendar Year (Jan - Dec), 2020",Eastern Europe,Czech Republic,3607.0,20.4
"Calendar Year (Jan - Dec), 2020",Eastern Europe,Hungary,2964.0,18.5
"Calendar Year (Jan - Dec), 2020",Eastern Europe,Kazakhstan,5918.0,16.4
"Calendar Year (Jan - Dec), 2020",Eastern Europe,Others,30710.0,14.2
"Calendar Year (Jan - Dec), 2020",Eastern Europe,Poland,12161.0,15.1
"Calendar Year (Jan - Dec), 2020",Eastern Europe,Russian Federation,102166.0,16.4
"Calendar Year (Jan - Dec), 2020",Eastern Europe,Ukraine,10619.0,23.9
"Calendar Year (Jan - Dec), 2020",Africa,Egypt,4886.0,13.4
"Calendar Year (Jan - Dec), 2020",Africa,Kenya,12779.0,27.7
"Calendar Year (Jan - Dec), 2020",Africa,Mauritius,11410.0,18.1
"Calendar Year (Jan - Dec), 2020",Africa,Nigeria,3819.0,49.7
"Calendar Year (Jan - Dec), 2020",Africa,Others,29226.0,26.4
"Calendar Year (Jan - Dec), 2020",Africa,South Africa,12561.0,22.3
"Calendar Year (Jan - Dec), 2020",Africa,Sudan,9114.0,36.5
"Calendar Year (Jan - Dec), 2020",Africa,Tanzania,6501.0,28.6
"Calendar Year (Jan - Dec), 2020",South Asia,Afghanistan,47561.0,27.4
"Calendar Year (Jan - Dec), 2020",South Asia,Bangladesh,549273.0,17.8
"Calendar Year (Jan - Dec), 2020",South Asia,Bhutan,7901.0,14.0
"Calendar Year (Jan - Dec), 2020",South Asia,Iran,7090.0,28.1
"Calendar Year (Jan - Dec), 2020",South Asia,Maldives,14536.0,21.6
"Calendar Year (Jan - Dec), 2020",South Asia,Nepal,40822.0,19.8
"Calendar Year (Jan - Dec), 2020",South Asia,Pakistan,14232.0,63.8
"Calendar Year (Jan - Dec), 2020",South Asia,Sri Lanka,68646.0,15.0
"Calendar Year (Jan - Dec), 2020",South East Asia,Indonesia,11795.0,32.9
"Calendar Year (Jan - Dec), 2020",South East Asia,Malaysia,69897.0,12.4
"Calendar Year (Jan - Dec), 2020",South East Asia,Myanmar (Burma),35291.0,9.9
"Calendar Year (Jan - Dec), 2020",South East Asia,Others,3386.0,13.2
"Calendar Year (Jan - Dec), 2020",South East Asia,Phillippines,16052.0,24.1
"Calendar Year (Jan - Dec), 2020",South East Asia,Singapore,33747.0,13.7
"Calendar Year (Jan - Dec), 2020",South East Asia,Thailand,52626.0,13.7
"Calendar Year (Jan - Dec), 2020",South East Asia,Vietnam,8828.0,14.1
"Calendar Year (Jan - Dec), 2020",East Asia,China,39586.0,29.2
"Calendar Year (Jan - Dec), 2020",East Asia,Japan,48191.0,25.4
"Calendar Year (Jan - Dec), 2020",East Asia,Others,1335.0,22.3
"Calendar Year (Jan - Dec), 2020",East Asia,Republic Of China Taiwan,8969.0,19.7
"Calendar Year (Jan - Dec), 2020",East Asia,Republic Of Korea,32302.0,35.2
"Calendar Year (Jan - Dec), 2020",Australasia,Australia,86758.0,29.4
