Sl. No.,Districts/ States,Top 5 Commodities,Products/Services identified with Export Potential,Value of Export (in US$ Million)
43,Kanchipuram (Tamil Nadu),1. Engineering Goods,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk",3442.3
44,Kanchipuram (Tamil Nadu),2. Electronic Goods,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk",653.98
45,Kanchipuram (Tamil Nadu),3. Drugs And Pharmaceuticals,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk",105.03
46,Kanchipuram (Tamil Nadu),4. Rmg Of All Textiles,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk",80.47
47,Kanchipuram (Tamil Nadu),5. Plastic And Linoleum,"Engineering and Auto components, Silk weaving, Textile garments, Software, Food Processing, Tourism - Heritage and medical, Kanchipuram Silk",70.02
48,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,4351.8
49,Total export of District,Total export of District,Total export of District,4587.56
50,Ahmedabad (Gujarat),1. Drugs And Pharmaceuticals,"Pharma, Textile, Engineering, Plastics",1218.54
51,Ahmedabad (Gujarat),2. Engineering Goods,"Pharma, Textile, Engineering, Plastics",1139.32
52,Ahmedabad (Gujarat),"3. Cotton Yarn/Fabs./Madeups, Handloom Products Etc.","Pharma, Textile, Engineering, Plastics",418.41
53,Ahmedabad (Gujarat),4. Organic And Inorganic Chemicals,"Pharma, Textile, Engineering, Plastics",259.31
54,Ahmedabad (Gujarat),5. Rice,"Pharma, Textile, Engineering, Plastics",247.95
55,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,3283.53
56,Total export of District,Total export of District,Total export of District,4439.12
57,Gautam Buddha Nagar (Uttar Pradesh),1. Electronic Goods,"Readymade Garments, Basmati Rice, Meat, Electronic Goods, Engineering Goods",1294.45
58,Gautam Buddha Nagar (Uttar Pradesh),2. Engineering Goods,"Readymade Garments, Basmati Rice, Meat, Electronic Goods, Engineering Goods",859.66
59,Gautam Buddha Nagar (Uttar Pradesh),3. Rmg Of All Textiles,"Readymade Garments, Basmati Rice, Meat, Electronic Goods, Engineering Goods",706.85
60,Gautam Buddha Nagar (Uttar Pradesh),4. Gems And Jewellery,"Readymade Garments, Basmati Rice, Meat, Electronic Goods, Engineering Goods",104.24
61,Gautam Buddha Nagar (Uttar Pradesh),5. Handicrafts Excl. Hand Made Carpet,"Readymade Garments, Basmati Rice, Meat, Electronic Goods, Engineering Goods",98.42
62,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,3063.62
63,Total export of District,Total export of District,Total export of District,3769.42
64,Bengaluru Urban (Karnataka),1. Engineering Goods,"Processed Foods, Vegetables and Flowers, Engineering Machine tools/ Automobile & Auto components/ Aerospace components / Precision components, Earth moving machinery, Defence manufacturing, Electrical machinery, etc., ESDM products. Pharma & Biotech, Electrical machinery, Plant extracts, FIBC bags & packaging products, Readymade garments/Textiles. Services-Hospital/ Health/ Wellness/ Educational, Engineering Services, Global Research & Development, Hub for manufacturing/ Global Development Centre, IT/ITES.",1120.59
65,Bengaluru Urban (Karnataka),2. Electronic Goods,"Processed Foods, Vegetables and Flowers, Engineering Machine tools/ Automobile & Auto components/ Aerospace components / Precision components, Earth moving machinery, Defence manufacturing, Electrical machinery, etc., ESDM products. Pharma & Biotech, Electrical machinery, Plant extracts, FIBC bags & packaging products, Readymade garments/Textiles. Services-Hospital/ Health/ Wellness/ Educational, Engineering Services, Global Research & Development, Hub for manufacturing/ Global Development Centre, IT/ITES.",900.33
