Sl. No.,Districts/ States,Top 5 Commodities,Products/Services identified with Export Potential,Value of Export (in US$ Million)
175,Total export of District,Total export of District,Total export of District,1843.43
176,Bellary (Karnataka),1. Engineering Goods,"Granite, Jeans Pant, Apparels Jute products, Engineering products, Electrical Machinery and Transport Equipment, Engineering/Iron ore based value added products, Pomegranate, Chilies",1714.84
177,Bellary (Karnataka),2. Rice,"Granite, Jeans Pant, Apparels Jute products, Engineering products, Electrical Machinery and Transport Equipment, Engineering/Iron ore based value added products, Pomegranate, Chilies",15.26
178,Bellary (Karnataka),"3. Mica, Coal And Other Ores, Minerals Including Process","Granite, Jeans Pant, Apparels Jute products, Engineering products, Electrical Machinery and Transport Equipment, Engineering/Iron ore based value added products, Pomegranate, Chilies",12.93
179,Bellary (Karnataka),4. Fruits And Vegetables,"Granite, Jeans Pant, Apparels Jute products, Engineering products, Electrical Machinery and Transport Equipment, Engineering/Iron ore based value added products, Pomegranate, Chilies",6.4
180,Bellary (Karnataka),5. Organic And Inorganic Chemicals,"Granite, Jeans Pant, Apparels Jute products, Engineering products, Electrical Machinery and Transport Equipment, Engineering/Iron ore based value added products, Pomegranate, Chilies",5.55
181,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1754.98
182,Total export of District,Total export of District,Total export of District,1769.36
183,Aurangabad (Maharashtra),1. Engineering Goods,"Engineering, Pharmaceuticals and Agriculture products, Engineering services, Paithani Sarees and Fabrics, Marathwada Kesar Mango, Beed Custard Apple",1062.07
184,Aurangabad (Maharashtra),2. Drugs And Pharmaceuticals,"Engineering, Pharmaceuticals and Agriculture products, Engineering services, Paithani Sarees and Fabrics, Marathwada Kesar Mango, Beed Custard Apple",217.39
185,Aurangabad (Maharashtra),3. Plastic And Linoleum,"Engineering, Pharmaceuticals and Agriculture products, Engineering services, Paithani Sarees and Fabrics, Marathwada Kesar Mango, Beed Custard Apple",149.9
186,Aurangabad (Maharashtra),4. Organic And Inorganic Chemicals,"Engineering, Pharmaceuticals and Agriculture products, Engineering services, Paithani Sarees and Fabrics, Marathwada Kesar Mango, Beed Custard Apple",43.69
187,Aurangabad (Maharashtra),"5. Meat, Dairy And Poultry Products","Engineering, Pharmaceuticals and Agriculture products, Engineering services, Paithani Sarees and Fabrics, Marathwada Kesar Mango, Beed Custard Apple",41.53
188,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1514.58
189,Total export of District,Total export of District,Total export of District,1734.22
190,Palghar (Maharashtra),1. Engineering Goods,"Chemicals, “Chikoo” (Sapodilla), Pharmaceuticals, Iron & Steel and Engineering Products, Textiles, Plastics related, Fisheries, Marine & Food Processing, Fruits & vegetables, Warli Painting (Handicraft) Focus Services - Tourism and Hospitality Services, Transport and Logistics Services",913.11
191,Palghar (Maharashtra),2. Drugs And Pharmaceuticals,"Chemicals, “Chikoo” (Sapodilla), Pharmaceuticals, Iron & Steel and Engineering Products, Textiles, Plastics related, Fisheries, Marine & Food Processing, Fruits & vegetables, Warli Painting (Handicraft) Focus Services - Tourism and Hospitality Services, Transport and Logistics Services",246.77
192,Palghar (Maharashtra),3. Organic And Inorganic Chemicals,"Chemicals, “Chikoo” (Sapodilla), Pharmaceuticals, Iron & Steel and Engineering Products, Textiles, Plastics related, Fisheries, Marine & Food Processing, Fruits & vegetables, Warli Painting (Handicraft) Focus Services - Tourism and Hospitality Services, Transport and Logistics Services",168.62
193,Palghar (Maharashtra),4. Man-Made Yarn/Fabs./Madeups Etc.,"Chemicals, “Chikoo” (Sapodilla), Pharmaceuticals, Iron & Steel and Engineering Products, Textiles, Plastics related, Fisheries, Marine & Food Processing, Fruits & vegetables, Warli Painting (Handicraft) Focus Services - Tourism and Hospitality Services, Transport and Logistics Services",65.01
194,Palghar (Maharashtra),5. Plastic And Linoleum,"Chemicals, “Chikoo” (Sapodilla), Pharmaceuticals, Iron & Steel and Engineering Products, Textiles, Plastics related, Fisheries, Marine & Food Processing, Fruits & vegetables, Warli Painting (Handicraft) Focus Services - Tourism and Hospitality Services, Transport and Logistics Services",53.08
195,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1446.59
196,Total export of District,Total export of District,Total export of District,1636.5
197,Coimbatore (Tamil Nadu),1. Engineering Goods,"Engineering Products such as Foundry, Motors & Pumps, Automobile Engineering Components, Iron Castings, Aluminium Castings, Wet Grinders & Home Appliances, Textiles such as Yarn & Fabrics, Poultry Products, Vegetables, Coconut & Coir Products, Kovai Kora Cotton Sarees, Coimbatore Wet Grinder ( Banana)",767.38
198,Coimbatore (Tamil Nadu),"2. Cotton Yarn/Fabs./Madeups, Handloom Products Etc.","Engineering Products such as Foundry, Motors & Pumps, Automobile Engineering Components, Iron Castings, Aluminium Castings, Wet Grinders & Home Appliances, Textiles such as Yarn & Fabrics, Poultry Products, Vegetables, Coconut & Coir Products, Kovai Kora Cotton Sarees, Coimbatore Wet Grinder ( Banana)",232.4
199,Coimbatore (Tamil Nadu),3. Rmg Of All Textiles,"Engineering Products such as Foundry, Motors & Pumps, Automobile Engineering Components, Iron Castings, Aluminium Castings, Wet Grinders & Home Appliances, Textiles such as Yarn & Fabrics, Poultry Products, Vegetables, Coconut & Coir Products, Kovai Kora Cotton Sarees, Coimbatore Wet Grinder ( Banana)",84.58
200,Coimbatore (Tamil Nadu),4. Tea,"Engineering Products such as Foundry, Motors & Pumps, Automobile Engineering Components, Iron Castings, Aluminium Castings, Wet Grinders & Home Appliances, Textiles such as Yarn & Fabrics, Poultry Products, Vegetables, Coconut & Coir Products, Kovai Kora Cotton Sarees, Coimbatore Wet Grinder ( Banana)",56.58
201,Coimbatore (Tamil Nadu),5. Organic And Inorganic Chemicals,"Engineering Products such as Foundry, Motors & Pumps, Automobile Engineering Components, Iron Castings, Aluminium Castings, Wet Grinders & Home Appliances, Textiles such as Yarn & Fabrics, Poultry Products, Vegetables, Coconut & Coir Products, Kovai Kora Cotton Sarees, Coimbatore Wet Grinder ( Banana)",39.74
202,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,1180.68
203,Total export of District,Total export of District,Total export of District,1489.44
204,Jaipur (Rajasthan),1. Gems And Jewellery,"Gems & Jewellery, Garments, Furniture, Services Exports and others, Toys, Blue Pottery of Jaipur",419.24
205,Jaipur (Rajasthan),2. Engineering Goods,"Gems & Jewellery, Garments, Furniture, Services Exports and others, Toys, Blue Pottery of Jaipur",243.95
206,Jaipur (Rajasthan),3. Rmg Of All Textiles,"Gems & Jewellery, Garments, Furniture, Services Exports and others, Toys, Blue Pottery of Jaipur",109.42
207,Jaipur (Rajasthan),"4. Mica, Coal And Other Ores, Minerals Including Process","Gems & Jewellery, Garments, Furniture, Services Exports and others, Toys, Blue Pottery of Jaipur",94.12
208,Jaipur (Rajasthan),"5. Cotton Yarn/Fabs./Madeups, Handloom Products Etc.","Gems & Jewellery, Garments, Furniture, Services Exports and others, Toys, Blue Pottery of Jaipur",49.6
209,Total of top 5 commodities,Total of top 5 commodities,Total of top 5 commodities,916.33
210,Total export of District,Total export of District,Total export of District,1380.09
